time (UTC),pressureRow,Depth (m),Temperature (degC ITS-90),bin_centre,x,y
1965-08-31 00:00:00+00:00,2,113.25224,4.85125,125,170.33580591674666,32.857142857142854
1965-08-31 00:00:00+00:00,3,163.7185117,4.03,175,170.33580591674666,38
1965-08-31 00:00:00+00:00,4,201.323509,3.8975,225,170.33580591674666,43.14285714285714
1965-08-31 00:00:00+00:00,5,251.8112719,3.76,275,170.33580591674666,48.28571428571429
1965-08-31 00:00:00+00:00,6,302.3113365,3.675,325,170.33580591674666,53.42857142857143
1965-08-31 00:00:00+00:00,8,403.0956786,3.6125,425,170.33580591674666,63.714285714285715
1965-08-31 00:00:00+00:00,10,501.9076127,3.64,525,170.33580591674666,74
1965-08-31 00:00:00+00:00,12,604.5590439,3.52,625,170.33580591674666,84.28571428571428
1965-08-31 00:00:00+00:00,16,805.4564589,3.185,825,170.33580591674666,104.85714285714286
1965-08-31 00:00:00+00:00,20,1006.546006,2.88,1025,170.33580591674666,125.42857142857143
1965-08-31 00:00:00+00:00,24,1208.334273,2.62,1225,170.33580591674666,146
1965-08-31 00:00:00+00:00,30,1512.899958,2.3,1525,170.33580591674666,176.85714285714286
1965-08-31 00:00:00+00:00,40,2022.999476,1.95,2025,170.33580591674666,228.28571428571428
1965-08-31 00:00:00+00:00,50,2536.848318,1.73,2525,170.33580591674666,279.7142857142857
1965-08-31 00:00:00+00:00,60,3047.810496,1.59,3025,170.33580591674666,331.1428571428571
1965-08-31 00:00:00+00:00,71,3559.945871,1.53,3575,170.33580591674666,387.7142857142857
1965-08-31 00:00:00+00:00,81,4073.243971,1.5,4075,170.33580591674666,439.1428571428571
1965-08-31 00:00:00+00:00,85,4278.886427,1.52,4275,170.33580591674666,459.71428571428567
1965-09-30 00:00:00+00:00,0,14.32354998,14.11133333,25,171.4929749541845,22.571428571428573
1965-09-30 00:00:00+00:00,1,63.05027387,7.441666667,75,171.4929749541845,27.714285714285715
1965-09-30 00:00:00+00:00,2,113.5040672,5.591666667,125,171.4929749541845,32.857142857142854
1965-09-30 00:00:00+00:00,3,163.9701901,4.476666667,175,171.4929749541845,38
1965-09-30 00:00:00+00:00,4,201.8274827,3.79,225,171.4929749541845,43.14285714285714
1965-09-30 00:00:00+00:00,5,252.315158,3.513333333,275,171.4929749541845,48.28571428571429
1965-09-30 00:00:00+00:00,6,302.8151349,3.426666667,325,171.4929749541845,53.42857142857143
1965-09-30 00:00:00+00:00,8,403.8519524,3.56,425,171.4929749541845,63.714285714285715
1965-09-30 00:00:00+00:00,10,504.9378535,3.536666667,525,171.4929749541845,74
1965-09-30 00:00:00+00:00,12,606.0722965,3.48,625,171.4929749541845,84.28571428571428
1965-09-30 00:00:00+00:00,16,808.4886265,3.235,825,171.4929749541845,104.85714285714286
1965-09-30 00:00:00+00:00,20,1011.099979,2.905,1025,171.4929749541845,125.42857142857143
1965-09-30 00:00:00+00:00,24,1213.905697,2.66,1225,171.4929749541845,146
1965-09-30 00:00:00+00:00,30,1518.477263,2.305,1525,171.4929749541845,176.85714285714286
1965-09-30 00:00:00+00:00,40,2027.058993,1.95,2025,171.4929749541845,228.28571428571428
1965-09-30 00:00:00+00:00,50,2536.828987,1.73,2525,171.4929749541845,279.7142857142857
